Symbol	H358.siNeg.1	H358.siNeg.2	H358.siNeg.3	H358.siKRAS.1	H358.siKRAS.2	H358.siKRAS.3	H358.siUHRF1.1	H358.siUHRF1.2	H358.siUHRF1.3	A549.siNeg.1	A549.siNeg.2	A549.siNeg.3	A549.siKRAS.1	A549.siKRAS.2	A549.siKRAS.3	A549.siUHRF1.1	A549.siUHRF1.2	A549.siUHRF1.3
KMT2E	5.393782598	5.491258354	5.285361207	6.083400458	6.069143992	6.068370085	5.844414389	5.821673438	5.769664765	5.699025838	5.71581002	5.722343842	6.612379831	6.523209153	6.649416069	6.548402347	6.670927649	6.528502585
RHBDD2	6.476454442	6.379856053	6.49125934	7.038280327	6.938006867	6.944027735	6.50273453	6.543738341	6.483982119	6.466307918	6.400707775	6.474720127	7.112796849	7.076608458	7.084922673	6.60098547	6.605629516	6.622741959
IBTK	7.039484937	7.041172566	7.036746175	6.511792688	6.656107479	6.66723946	6.729001113	6.695240193	6.799453011	7.311128622	7.260468048	7.212081646	6.862151646	6.850523979	6.997109925	6.686380635	6.767479622	6.644946725
ZNF195	5.177900033	5.150273881	4.963598371	5.164598166	5.093459017	5.044847927	4.74624429	4.857414526	4.836464228	4.9614832	4.949684304	4.933939481	4.927343675	4.681813002	4.767220068	4.864380673	4.922558391	4.945951566
MYCBP2	5.979650369	6.206904748	5.81813576	6.053310491	5.998037836	6.021127671	5.966945905	5.879817451	5.938889175	5.79292864	5.779158015	5.882858194	6.044055125	6.051780835	6.300868151	6.237522585	6.239046908	6.10434502
FBXL3	4.509672882	4.599032696	4.478946857	4.973542907	5.043482959	5.025826569	4.647431297	4.699246098	4.567359063	3.691677997	3.872022244	3.745844442	4.910271726	4.866050333	4.839695241	4.851577493	4.831761478	4.745547208
PDK2	4.048868707	4.219283756	4.209278804	4.667898535	4.693506916	4.602954019	3.859998448	3.986734567	4.029671616	2.137483787	1.591918467	2.274882048	1.88813535	2.117602911	2.064595864	1.816206615	1.658878784	1.962896308
ITGA3	8.811004996	8.884571884	8.896188804	8.925693983	8.879068531	8.886764983	9.797305911	9.764715827	9.737775042	7.528465498	7.429355191	7.529523446	6.988172799	7.062841441	6.988027369	7.220984608	7.190413909	7.296618574
ZFX	5.107096984	5.226618241	5.125497797	5.045184495	5.060334736	5.161481289	5.308555547	5.009166582	5.280992508	5.970070505	5.841961783	5.846019727	5.587578028	5.480989703	5.464913984	5.869576428	5.848324046	5.833972823
LAMP2	6.929031894	6.844733537	6.832601462	7.82187904	7.832959323	7.85197888	7.317937325	7.354834608	7.343733755	6.750588842	6.736729951	6.692989426	8.153855766	8.047520162	8.177345098	7.672464274	7.620698418	7.657471718
ITGA2B	0.483018193	0.398185438	0.807651673	0.407676018	0.550008507	0.533282866	0.393423822	0.358226616	0.65951768	2.080491502	2.097050403	2.221740678	2.291227666	3.170134496	2.481848522	2.957541617	3.431408551	3.044175667
GDE1	6.157583507	6.195077874	6.254436677	7.255369482	7.277055463	7.315267649	6.659705925	6.637922615	6.675977906	6.485642945	6.32084798	6.371763602	7.551265693	7.510136701	7.463906857	7.127158807	7.106964724	7.226992749
REX1BD	3.46325414	3.554745938	3.685622849	4.143408281	4.385616929	4.270380152	4.010718846	4.0052914	3.487904012	4.192962472	4.143640311	4.470324038	4.733908987	4.801196056	4.53126448	4.402636678	4.221128153	4.388669014
CRLF1	1.239285927	1.265081901	1.061591674	1.054047548	0.484926193	0.957066301	0.837776089	0.924141835	0.805045832	3.385444446	3.628412395	3.745844442	6.323077759	6.360858985	6.156332195	4.528630798	4.389748856	4.412760431
OSBPL7	5.077224602	5.147821784	5.085161011	5.82303046	5.560310778	5.678967046	4.522885304	4.49993012	4.637057488	1.47554337	1.46557321	1.358564192	1.256460877	1.66645067	1.52627889	0.548589482	0.253663081	0.106501029
TMEM98	1.89111943	1.725977205	1.780194642	1.897591452	1.993752885	2.014873433	1.7847317	1.707432265	1.844512799	3.313074028	3.588550324	3.231147445	2.688366574	2.762785603	3.051691538	2.806511616	3.178579153	2.869504816
YBX2	2.461296169	2.618839317	2.558043669	2.385570738	2.416542008	2.465679327	2.855158826	3.13867422	2.944608101	0.216395805	0.215206228	0.21924574	0.258132838	0.106501029	0.106501029	0.415731226	0.253663081	0.256032355
MAP3K14	4.337085384	4.247041944	4.205520524	4.693207748	4.517570192	4.702140036	4.213150627	4.077220134	4.136669412	8.799719891	8.63969768	8.70486586	5.605366323	5.871120111	5.719333838	8.338989913	8.222983211	8.335914273
TMEM132A	3.340596749	3.640966244	3.519988801	4.441025313	4.455226871	4.402656214	4.098125904	4.328770817	4.080592855	5.817115787	5.690141847	5.899873746	6.948306298	7.197227687	6.942912124	5.985452545	5.856983499	5.951014543
AP2B1	8.446150593	8.456023562	8.354107528	8.340474763	8.336580404	8.329900261	8.544628976	8.454494962	8.51653298	9.016519694	8.954918892	8.977785099	8.885608579	8.837824192	8.887749582	8.938713031	8.954621765	8.893645586
ZNF263	5.8746273	5.868645413	5.854588682	5.98208139	5.968584169	5.9232014	5.882568439	5.888173781	5.855712971	6.640300296	6.614281224	6.568157532	6.023032763	6.049244175	5.984313679	6.452031983	6.24565658	6.278330504
CX3CL1	5.726787576	5.714796616	5.610713597	5.198380056	4.916582796	5.000996147	5.660701848	5.994167716	5.749575666	0.587539132	0.316291437	0.421313813	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029
SPATA20	4.914746393	4.967691771	4.85982422	5.192475736	5.320261237	5.348066392	4.841703807	5.098298342	4.815143885	7.041208851	7.024105095	7.150322044	7.438693474	7.574177284	7.466361474	7.081285142	7.041365799	7.146670781
TNFRSF12A	7.931778549	7.85346847	8.002400793	7.881505113	7.853246897	7.916839686	8.001851803	7.958420566	7.844953927	8.453072619	8.38757991	8.508078535	7.04663128	7.235664504	7.089176082	8.274504242	8.175887978	8.27533876
MAP3K9	8.27757844	8.239065583	8.105067149	7.378792984	7.283648128	7.383565767	8.100405411	8.106858398	8.119962189	4.081196601	4.236845174	4.027110029	3.727576495	3.574682476	3.755189823	3.277716489	3.564249464	3.572114448
RALA	6.124771706	6.160221263	6.263502442	5.89508467	6.050990866	5.896523316	6.034980033	5.911317245	6.002518554	5.966142848	6.004148012	5.869963521	5.363408524	5.346959695	5.394482663	5.650549248	5.727604776	5.602211115
BAIAP2L1	6.992971604	6.884305853	6.942239117	6.792429811	6.74391421	6.762242027	7.027023349	7.111768142	7.042656877	7.956324709	7.912608769	7.980612633	6.42676079	6.553954509	6.492884245	6.929642488	6.903268511	6.961727567
KDM7A	3.950438813	4.019180062	3.973292403	3.746669282	3.819850714	3.658454382	3.103995444	3.287606533	3.279534589	3.919992029	3.67673937	3.773804047	3.255205634	3.362223358	3.377994857	3.388227918	3.633085547	3.69507976
ETV1	2.763691038	2.94684067	2.649404717	1.446877346	1.591686994	1.851630769	3.366733507	3.537547839	3.466183436	4.9614832	5.147836522	5.079193474	7.372713882	7.124386691	7.240250512	6.50409293	6.511870472	6.552193986
AGK	5.7320257	5.625971747	5.694882037	5.445106488	5.53038535	5.495592865	5.496293258	5.431283691	5.46472873	6.808768365	6.799185446	6.758588471	6.072469626	5.930216221	5.911723888	6.802361565	6.730259202	6.740050935
ALDH3B1	6.746965529	6.725646788	6.959635588	7.779510732	7.700378224	7.735132736	5.823444156	6.071050284	5.82617635	8.025897453	7.979154675	8.076334387	7.840518123	8.001680356	7.880633698	6.922008085	6.876546274	6.981996986
